,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,3130.472,315.00600000000003,-112.009,292.96,3.134934,0.041324,-0.033019,40.6,0,0,6.795752919459274,-3.5725026376165654,0.1519022879756803,-0.0634611604555787,-0.6625694240302551,0.0908480791989983,0.9998528593526116,0.013179837138481169,-0.0105310483611342,0.0031062127784851003
250,3132.272,363.377,-111.99499999999999,292.916,3.134925,0.041383,-0.033281,40.6,0,0,6.853523309709942,-4.10126838386368,0.1602633387327811,-0.0203062966923905,-0.6556659669586914,0.091191523806728,0.9998517185445899,0.013198677374588153,-0.010614628753441468,0.0031089379888502504
500,3136.272,415.006,-112.026,292.959,3.134831,0.041322,-0.033056,40.6,0,0,6.800603050513707,-3.48280103829697,0.1530335720395191,-0.0700959419737775,-0.6616963982099069,0.090889043359384,0.9998525733977005,0.013179628515202184,-0.010543192493067214,0.0031575234363962687
750,3138.872,465.01300000000003,-112.01,293.027,3.134813,0.041521,-0.032873,40.6,0,0,6.797486574490052,-3.5567403936371003,0.1548977071722599,-0.064435384287094,-0.6617018686147519,0.0907701161495422,0.9998523195978855,0.013243172132444202,-0.010484882288717474,0.0031661696085198664
1000,3140.672,501.216,-112.041,292.989,3.134752,0.041448,-0.032923,40.6,0,0,6.844956863105781,-3.366658169683525,0.0965920775652418,-0.0774514953840826,-0.658517122233851,0.0904267370825236,0.999852357061993,0.013220146440772821,-0.01050103457994508,0.0031968857364503586
1250,3141.872,515.048,-112.045,293.069,3.13475,0.041456,-0.032631,40.6,0,0,6.789326972296709,-3.5411875245709363,0.1657740197924203,-0.0663405846760553,-0.6625055828395496,0.0910321824564285,0.999853288790681,0.013222718857997121,-0.01040791535737418,0.0031993590568936067
1500,3142.872,520.4250000000001,-112.045,292.909,3.134742,0.041486,-0.033249,40.6,0,0,6.865543859958419,-3.478315049428873,0.2188788643115986,-0.0707291869757711,-0.656414260476405,0.0912577174312931,0.9998510890258019,0.013232292252225037,-0.01060503507434388,0.0031999135522297016
1750,3144.072,562.293,-112.028,292.97,3.134719,0.041613,-0.032725,40.6,0,0,6.664910311590952,-3.280588257390702,-0.1990175176296337,-0.084390333843765,-0.6729172526233935,0.0909759875142757,0.999852265426522,0.013272912921762319,-0.01043798993979458,0.00321332694262929
2000,3145.872,565.0319999999999,-102.116,293.06300000000005,3.134678,0.041383,-0.032859,40.6,0,0,6.518171580529197,-3.2106709157190165,0.0605623381707134,-0.0932008306090841,-0.6842267393568705,0.0903348482693855,0.9998527169011927,0.013199730557180692,-0.010480872493014048,0.003234645313845449
2250,3147.272,565.0880000000001,-62.13399999999999,293.03499999999997,3.134704,0.04165,-0.03275,40.5,0,0,6.662146854245363,-3.5972633028172423,0.179461585469179,-0.0611294781155639,-0.6714150508315868,0.090905990598894,0.9998520012082637,0.013284774527459109,-0.010446011183056082,0.0032204496500134235
