,bolt1,nut1,jig1,bin1
x,480.9744750848628,448.7997474131399,681.3722446474469,436.95038719748015
y,-2.042927912786201,-134.63293665064387,6.416068475405806,215.74914146623826
z,29.744901346637423,28.045213662217908,83.42530672761748,69.73026512197441
rx,-0.24325554053798018,0.4605803300261442,-0.013481151845226427,0.1379037764758522
ry,0.1699363578149833,-0.6071613892627941,-0.009227101634516373,0.06710590129293481
rz,0.3532625968945315,0.2516213812476963,-0.020548555721232004,-0.22464469924236766
qx,-0.12055197005738362,0.22415939309896935,-0.006740382378753137,0.06873952360271467
qy,0.08421663356018867,-0.2954987863301705,-0.004613418347207543,0.033449611052637614
qz,0.1750689908605555,0.1224613654430408,-0.010273982852679074,-0.11197640848145629
qw,0.9735120079311499,0.920563005848445,0.9999138607364559,0.9907660093881365
