,bolt1,nut1,jig1,bin1
x,494.77051032356536,453.97019081438276,681.7228300677976,403.3964791262536
y,-80.11239030843655,36.673106041396466,6.254267730510362,248.88799439418923
z,39.65202382705738,23.048885736228648,84.23417268867539,75.12731480099423
rx,-0.5241513575533714,0.5846054634770259,-0.016671730339286452,0.09955907557881931
ry,0.14378204847151993,-0.09394752389397144,0.04194405808709383,0.01990228418193004
rz,-0.6337211862887863,-0.2887740743720549,0.00450718623794919,0.004351650948795996
qx,-0.2545304893595098,0.28704576467767084,-0.00833515053855843,0.04975812073587033
qy,0.06982127324709307,-0.0461289545180218,0.020970231118129363,0.009946860730542567
qz,-0.3077381396406083,-0.14179028451804843,0.0022533999191491983,0.002174889351389493
qw,0.9141315316731508,0.9462411763139335,0.9997428153586082,0.998709396791054
