,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,2976.32,315.01800000000003,-112.005,292.961,3.135006,0.041361,-0.032979,0.0,0,0,-3.0446113414086104,-1.745012731375983,-0.2840403818580575,0.0404562489296836,-0.1348818566585627,0.013693287194918,0.9998529558064333,0.013191336190460206,-0.010518050246009214,0.0030701846314383444
125,2977.12,316.351,-111.993,292.99399999999997,3.135042,0.04134,-0.032825,0.0,0,0,-3.1637873115177784,-2.315159848830436,-0.3258031549164692,0.0816760721903507,-0.1470354027713928,0.0143139613744634,0.9998536148954432,0.013184495914178383,-0.010468821441289439,0.0030531337399697447
250,2977.92,341.551,-112.03299999999999,292.917,3.134957,0.041234,-0.033203,0.0,0,0,-3.006519594866976,-1.7908028286920856,-0.2308478982085013,0.0445914979490002,-0.1338810534080521,0.0137926383402751,0.9998526564700438,0.013151033470917077,-0.010589653303944797,0.003094335364068316
375,2978.92,364.937,-111.99000000000001,292.947,3.134997,0.041459,-0.033146,0.0,0,0,-3.0315900939116744,-1.8305131178067768,-0.3218589606790429,0.0486251408913057,-0.1346302467825956,0.0140921404949479,0.999851971578085,0.013222616445775173,-0.010571331790724907,0.0030731563439882204
500,2980.32,403.32800000000003,-112.018,292.978,3.134975,0.041358,-0.033369,0.0,0,0,-3.2907669333302074,-2.342821124171199,-0.6236512732882642,0.0936985246956848,-0.1582825854599514,0.0138880673030619,0.9998516083709047,0.013190492051453003,-0.010642524524032481,0.00308363897219385
625,2981.52,418.29499999999996,-112.026,292.977,3.134912,0.041374,-0.032972,0.0,0,0,-3.15876944572887,-1.740189680143508,-0.3396036128482152,0.0385397033972974,-0.1456842324021436,0.0138674770510039,0.9998527708438527,0.013195875527253577,-0.01051613109403502,0.0031171287674028325
750,2982.72,460.236,-112.04400000000001,292.945,3.134918,0.041236,-0.033112,0.0,0,0,-3.056504942863751,-2.03014301688354,-0.3714815589738307,0.0617259464706449,-0.1365214656901585,0.0140731881337846,0.9998528894565318,0.013151838022439358,-0.010560763910151616,0.0031143005137018987
875,2984.32,467.20099999999996,-112.03200000000001,292.87,3.134921,0.041271,-0.033353,0.0,0,0,-3.0579993703985173,-1.8412144722538504,-0.2895707601972763,0.0475702822125553,-0.1371052251299024,0.0137057983693381,0.9998519376443638,0.01316297581933342,-0.010637608308551465,0.003111293278529866
1000,2984.912,470.084,-112.027,292.91,3.134943,0.041244,-0.033231,0.0,0,0,-3.024680883459949,-1.6488370600305224,-0.3030018486002228,0.03222763748343,-0.1343885659618192,0.0142309717725836,0.9998524976434285,0.01315427949178201,-0.010598629177369022,0.0031011202508481636
1125,2985.52,474.774,-112.018,292.87800000000004,3.134913,0.041271,-0.033347,0.0,0,0,-3.030492877571654,-1.8147211660591327,-0.2136849147365257,0.04395171222993,-0.1342829507747168,0.0138163514821451,0.9998519447165536,0.013163009503101643,-0.010635721884614634,0.003115324596289654
1250,2986.32,479.744,-112.02199999999999,292.861,3.134895,0.041335,-0.033313,0.0,0,0,-3.0873051165979795,-1.712500061968157,-0.3097719108610977,0.0375974430012562,-0.1399259037041575,0.0137982226772813,0.9998517621541987,0.013183495009767088,-0.01062493696045412,0.0031240824344998127
1375,2987.12,484.719,-112.038,292.871,3.134879,0.04127,-0.033203,0.0,0,0,-2.9850891880921875,-1.6815779899510015,-0.2928478023399369,0.0366543535077875,-0.131212506407645,0.0138207934669632,0.9998523776655492,0.013162839020663068,-0.010589913835790546,0.0031330927873877176
1500,2987.92,489.623,-112.02900000000001,292.856,3.134823,0.041436,-0.033395,0.0,0,0,-3.055932539691729,-1.774748930947877,-0.3111809872653989,0.0426971506760017,-0.1362032186653169,0.014050554643198,0.999850942616857,0.013216000921988925,-0.010651326160580659,0.003158974332538315
1625,2989.12,494.62,-112.02,292.863,3.134829,0.04149,-0.033396,0.0,0,0,-3.0186268932613944,-1.7545900907934502,-0.2887499058156575,0.0412229265037911,-0.1331999590105782,0.0137040504714348,0.9998507226459343,0.013233195967811901,-0.010651622379875785,0.003155612390145022
1750,2989.52,498.371,-112.031,292.89500000000004,3.13479,0.041393,-0.03329,0.0,0,0,-2.975129990843892,-1.8719588818838817,-0.1560359288187637,0.0489443008528769,-0.1291258061636199,0.0138371115669395,0.9998514219128256,0.013202431393247262,-0.010617953303244543,0.003176314193784886
1875,2991.32,499.64300000000003,-110.908,292.856,3.134799,0.041767,-0.033544,0.0,0,0,-3.11926644232411,-1.7389709953659014,-0.2896343592537385,0.0379330964502109,-0.1390401902547936,0.0143322504667074,0.9998490040290431,0.013321649442685492,-0.010698910836436471,0.0031679812453524994
2000,2993.32,499.554,-57.016,292.894,3.134811,0.041381,-0.033524,0.0,0,0,-3.2610534385011523,-2.145492016576676,-0.2726084229658253,0.0721952724539173,-0.149688419235036,0.0133534520882818,0.9998507161981742,0.013198506221586134,-0.01069250918470925,0.003164648298300955
2125,2995.12,499.565,-15.260999999999997,292.875,3.13476,0.04131,-0.033514,0.0,0,0,-3.1536387230091965,-1.7444993680435723,-0.3015220022727846,0.0401889643941617,-0.1400713513213881,0.0133467413363343,0.9998509615344059,0.013176078302959814,-0.010689496205407777,0.0031906660985853734
2250,2996.92,499.599,33.71700000000001,292.86899999999997,3.134787,0.041282,-0.033439,0.0,0,0,-3.0246271223095005,-1.898101413376401,-0.2422732313655272,0.0526286201684012,-0.1302461143156454,0.0134137694874628,0.9998513781256737,0.013167039608044839,-0.010665487075563477,0.0031777529155522896
2375,2998.32,499.574,77.134,292.822,3.134678,0.041325,-0.033622,0.0,0,0,-3.178101526183539,-1.7365690862743264,-0.2976513664555834,0.0398558111440074,-0.1450861108981046,0.0127383301305601,0.9998503927426428,0.01318119994464813,-0.010724217895679598,0.003230982966291888
2500,2999.72,499.545,83.39599999999999,292.84700000000004,3.134716,0.041364,-0.033634,0.0,0,0,-3.0631058525049792,-1.736664823000572,-0.2948067182820937,0.0406165408614781,-0.1335256936498422,0.0128690892433765,0.9998502533976927,0.013193477776469115,-0.010727913923550967,0.0032116643006487988
2625,3001.12,499.53700000000003,92.183,292.85299999999995,3.134663,0.041361,-0.033668,0.0,0,0,-3.2052803511109977,-1.9330101140048304,-0.5050407766962149,0.0562464712344596,-0.1474990155458166,0.0145381960286115,0.9998500598364066,0.013192741396728647,-0.010738938065933127,0.003237997651224031
2750,3001.92,499.512,97.542,292.871,3.134738,0.041479,-0.033569,0.0,0,0,-2.826043050286021,-1.7518104700758836,-0.482387194184858,0.0443042307876609,-0.1129248777098893,0.0133513493592962,0.9998500296264582,0.013230062409960852,-0.01070710395718257,0.0032002545913474697
2875,3002.52,499.52200000000005,101.249,292.861,3.134725,0.041582,-0.033728,0.0,0,0,-3.197453017621783,-1.9169395839073544,-0.3849677205946552,0.0573081608801875,-0.1453736103859639,0.0131150903473925,0.9998490331883129,0.013262956877568663,-0.010757852185239667,0.003205218186052628
3000,3003.12,499.497,103.092,292.843,3.134652,0.041184,-0.033792,0.0,0,0,-3.294433644273194,-1.633632948835658,-0.2227317943179323,0.0316422764784717,-0.1503807634607135,0.0130369083816427,0.9998503570470437,0.01313633446539694,-0.010778530843402618,0.0032439948474483173
3125,3005.128,499.465,116.33499999999998,292.88399999999996,3.13476,0.041211,-0.033934,0.0,0,0,-2.9600579735586066,-1.8045881952461984,-0.2127434581231845,0.0455574483134693,-0.1251023221955254,0.0133488505363404,0.9998499414084371,0.01314448823367119,-0.010823446742893842,0.0031890586735901553
