,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,5058.024,318.799,-111.621,293.264,3.134956,0.041034,-0.033184,0.0,0,0,-3.035283377800135,-1.704581301618724,-0.4425967912957008,0.0198850515325503,-0.1293191217903883,0.0192138885133613,0.9998535513257681,0.013087262030185296,-0.010583606355940654,0.003096247778380574
125,5060.024,318.502,-112.03299999999999,292.84700000000004,3.134957,0.041145,-0.03378,0.0,0,0,-2.6814109048631662,-2.42328213928607,-0.1400772772850398,0.0857355690700344,-0.0954887998958556,0.0193961797256274,0.9998510716007504,0.013122627309086816,-0.010773662668634162,0.0030918382946701103
250,5062.024,364.984,-112.067,292.981,3.134943,0.041139,-0.033035,0.0,0,0,-3.045348765315279,-1.8545789585324697,-0.2777840338497583,0.0369977579473421,-0.1299330787744592,0.0197459048862353,0.9998535926846013,0.013120805370130117,-0.010536128865608022,0.0031028455749722407
375,5064.032,413.69899999999996,-112.08,292.929,3.134872,0.04113,-0.033567,0.0,0,0,-2.902588159903419,-1.613839083726288,-0.2086390102569316,0.0195080898922098,-0.1160866229441075,0.0199549028981506,0.9998517199087622,0.013118207454673552,-0.010706026492366329,0.003135574175624793
500,5066.032,461.254,-112.10199999999999,292.964,3.134847,0.041123,-0.033298,0.0,0,0,-2.9434635212072107,-1.7863360467855167,-0.3139613905396651,0.0319835501790928,-0.1206012912679269,0.0196003745526188,0.9998526177281049,0.013116091215562627,-0.010620324521455253,0.0031495524348891255
625,5068.032,504.456,-112.125,292.802,3.1348,0.041135,-0.033812,0.0,0,0,-3.0575116330703427,-1.7189373632559244,-0.3442322252118802,0.0298848988697863,-0.1294325415381209,0.0192108207544238,0.9998507436271552,0.01312009070406502,-0.010784405175297109,0.0031702197332125967
750,5070.032,554.1899999999999,-112.145,292.874,3.134695,0.041576,-0.033285,0.0,0,0,-3.0576301133832064,-0.7355719351899735,-0.3443847869907485,-0.0571270106559297,-0.1279500950473224,0.0189108436463809,0.9998505097547286,0.013261189619265224,-0.010616670590659105,0.0032226229473286414
875,5072.032,605.3589999999999,-112.19,292.929,3.134655,0.041431,-0.033103,0.0,0,0,-3.054485663385112,-1.5265277270441528,0.0908332185713082,0.0128842582414967,-0.1305510431912939,0.0198311068467756,0.9998516619448772,0.013215123899133464,-0.010558766296565736,0.003244543217819888
1000,5074.032,618.581,-112.15700000000001,292.928,3.134632,0.041544,-0.03333,0.0,0,0,-3.079616321543195,-1.4172612909538649,-0.3540269043785417,0.0012303281060309,-0.1292551287386408,0.0191351697179267,0.9998503848806594,0.013251247479602745,-0.010631236243384351,0.003254091296969181
1125,5076.032,633.322,-112.18400000000001,292.863,3.13463,0.041561,-0.033113,0.0,0,0,-2.7774288805633107,-1.4787365862606496,-0.1833988980369387,0.0119701489154562,-0.1062402115390631,0.018938581645241,0.9998510395663923,0.013256687090795033,-0.010562033628581985,0.003256128223852476
1250,5078.024,644.714,-112.204,293.12899999999996,3.134572,0.041599,-0.032441,0.0,0,0,-3.09716661129212,-1.8440574223767965,-0.2713460350646463,0.0370641647856324,-0.1315922730144438,0.0187816465796103,0.9998530087261182,0.013269079577689646,-0.010347898040333417,0.003288384806661606
1375,5080.032,644.795,-112.374,293.07800000000003,3.134578,0.041524,-0.032424,0.0,0,0,-3.0713775541175994,-2.069382137172838,-0.2371472263333494,0.0554701956991255,-0.1313250916857928,0.0197477423260766,0.9998533904020637,0.013245136086278692,-0.010342459600748973,0.003285970322626338
1500,5082.032,644.8040000000001,-162.08700000000002,293.116,3.134587,0.041712,-0.032265,0.0,0,0,-3.031862560491003,-1.8998303767829967,-0.2812344664810506,0.0398902583801386,-0.1268158164069868,0.0195338973811942,0.9998531346063206,0.013305061863237117,-0.010291710323584237,0.003281043331888378
1625,5084.032,644.813,-171.956,293.094,3.13445,0.041486,-0.032373,0.0,0,0,-2.5505448421934807,-1.911601560118483,-0.202936121049662,0.0438371840836394,-0.0912808305387652,0.0186315112333899,0.9998534934261101,0.013233556773365535,-0.010326614603098935,0.0033504760212153795
1750,5086.032,644.77,-188.736,293.144,3.134508,0.040621,-0.032194,0.0,0,0,-3.202815721522271,-2.0121879290094893,-0.2692258277169036,0.0502533296506999,-0.144610534403388,0.0208005417103271,0.999857774177256,0.012957447435085288,-0.010269369605010605,0.0033280656823444763
1875,5088.032,644.685,-219.54299999999998,293.17900000000003,3.134447,0.040957,-0.032344,0.0,0,0,-3.3250245849891944,-1.562983126542334,-0.2717493139578348,0.005057142635401,-0.1582500222851239,0.0190446644111961,0.9998557900089597,0.01306485437188664,-0.010317397509688245,0.003355603437176218
2000,5090.032,644.729,-241.498,293.267,3.134324,0.040953,-0.031917,0.0,0,0,-3.027454121598584,-1.856143863197028,-0.284366727820578,0.0380680118004356,-0.1304156549923274,0.0198892697546653,0.9998569759995638,0.01306410656272617,-0.010181600594890025,0.0034193090020534864
2125,5092.032,644.678,-226.958,293.341,3.134344,0.041181,-0.032034,0.0,0,0,-2.3048147074899656,-0.783789395205547,-0.1397253302798027,-0.0606424922729285,-0.0612915608391495,0.0206159434899758,0.9998556856630588,0.013136738338641332,-0.010218845485540331,0.0034072202775177543
2250,5094.032,644.6650000000001,-191.53300000000002,282.258,3.134334,0.040874,-0.032158,0.0,0,0,-3.0230796867008,-1.7302658088584693,-0.3688090211076395,0.0300446448167804,-0.1252676649708202,0.0198348680019054,0.9998565396623071,0.013038858080267496,-0.010258442974635273,0.0034135937391815115
2375,5096.032,644.648,-191.638,232.488,3.134385,0.040991,-0.032287,0.0,0,0,-3.0365166252671347,-1.8379042625760929,-0.4874240483803972,0.0434615635775147,-0.1311692810843175,0.0202411845228243,0.999855725479996,0.013075957817291275,-0.010299418166106791,0.0033866705583921295
2500,5098.04,644.6129999999999,-191.615,176.533,3.134407,0.041044,-0.032443,0.0,0,0,-3.153168418794874,-1.8280575057494024,-0.2700938712347301,0.0307264607682511,-0.1428792179187353,0.019725552112078,0.9998550336163524,0.013092763639102889,-0.010349101713853791,0.0033745201213739953
2625,5100.04,644.62,-191.56599999999997,144.371,3.132247,-0.096919,-0.031924,0.0,0,0,-2.9679515529165577,-1.9782300576628888,-0.2601619458136213,0.0486075963874021,-0.1192843374652715,0.0183189784893943,0.9994623929582022,-0.030925688703067156,-0.010186564926967012,0.0038419702619700313
2750,5102.04,644.625,-191.578,144.403,3.10244,-0.426674,-0.030379,0.0,0,0,-3.088940644650986,-1.884122217125781,-0.3230111878836315,0.0396333170125304,-0.1283228117492454,0.0182236837369215,0.9906165171313138,-0.13623802936736445,-0.00970008740666449,0.004901392151793666
2875,5104.04,644.571,-191.6,144.264,3.042139,-0.735269,-0.029174,0.0,0,0,-3.124821232273176,-2.0191945547761425,-0.3299880215377735,0.0531467968258709,-0.1343656591882709,0.0181562726321762,0.9719533069911331,-0.23491600353503353,-0.009320996107725292,0.005861684372953577
3000,5106.04,644.578,-191.631,144.246,2.947231,-1.047684,-0.027101,0.0,0,0,-3.1135763190483865,-1.9785669957460648,-0.3180880926420942,0.0485580083353813,-0.1332031237503551,0.0190338141224899,0.9421798838458825,-0.33492684809137446,-0.008663731153787152,0.006783263685855607
