,bolt1,nut1,jig1,bin1
x,654.7940772998322,697.1144838727569,682.9019344573593,464.25872233283144
y,-20.92744024695945,-15.323469244169942,9.168144293721085,143.67703666781807
z,59.506740977231516,63.97553432207161,66.05850218630063,38.28318451697318
rx,-0.5641236461104107,-0.32795176609289095,-0.02259789031162676,-0.010708562696161793
ry,-0.10559356826380693,0.05113885500362632,-0.0024722292277660624,0.009945864314770545
rz,0.25058024943199536,0.042960743095519706,-0.01529135679188969,0.013017908599537312
qx,-0.2774752873441976,-0.16321164313204267,-0.01129859178360395,-0.005354195889814713
qy,-0.05193826902615677,0.025450256458350754,-0.0012360759546501386,0.004972852785732498
qz,0.12325281379946831,0.021380258305446345,-0.007645439278909571,0.006508850412073377
qw,0.9513772254023822,0.9860309977618023,0.9999061761976342,0.9999521179475837
