,bolt1,nut1,jig1,bin1
x,537.9184673831675,565.5978878011381,551.8764250467624,288.30537712559754
y,-127.47896735258664,-131.22452171527542,-106.84906064609619,198.3744924039244
z,159.40919996759277,156.35325536471726,158.88097839809183,56.52739753056771
rx,2.3336390516681336,-0.009756835864101584,0.029891875633151013,5.942174952927211e-07
ry,-0.6879868748423045,0.04459134909201184,-0.020571092631349906,-0.027380559071455958
rz,1.3186244921609032,-0.09857194267560496,-0.016957962404697147,0.10934110495784896
qx,0.8285656628553154,-0.004876019727862118,0.014944938783759906,2.9695148854784256e-07
qy,-0.2442718382613596,0.022284714111530997,-0.01028485879787434,-0.013683033296647834
qz,0.4681816477246397,-0.049261742617641255,-0.008478414440960431,0.05464161545883865
qw,0.18605417518397538,0.9985253610514127,0.99979947338095,0.9984122737926268
